TIMESTAMP,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~STD_DEV,2014-06-20_13:45~PRACTICEAPILOADTEST0620~MAIN~REQUESTS~PER_SECOND,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~MEDIAN,2014-06-20_13:45~PRACTICEAPI~MAIN~COMPLETED~PER_SECOND,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~TIME_TAKEN~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~THROUGHPUT~TPS,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_75TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~STD_DEV,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~PERCENTILE_75TH,2014-06-20_13:45~PRACTICEAPI~MAIN~RUNNING~VALUE,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~PERCENTILE_90TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_25TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_90TH
00:02:05,466.0,2675.812921971271,2.0,22.0,2.0,876.5454545454545,,3.0,466.0,0.0,56.0,99.996,66.0,466.0,466.0
00:02:06,407.75,344.73574571691864,0.0,37.5,0.0,241.625,30262.5,2.0,466.0,154.1150138695124,354.25,100.0,627.6999999999999,466.0,466.0
00:02:07,,,1.0,,1.0,,,0.0,,,,99.998,,,
00:02:08,466.0,0.0,1.0,21.0,1.0,21.0,34340.0,0.0,466.0,0.0,21.0,99.999,21.0,466.0,466.0
00:02:09,397.4,11.568923891183656,0.0,30.0,0.0,28.4,,0.0,466.0,137.20000000000002,34.0,100.0,41.2,466.0,466.0
00:02:10,427.8888888888889,839.1073299114429,0.0,331.0,0.0,669.3333333333334,,5.0,466.0,107.79450042088258,949.0,100.0,2141.0,466.0,466.0
00:02:11,466.0,339.9423720669881,0.0,15.0,0.0,156.42857142857142,,0.0,466.0,0.0,26.0,100.0,412.4000000000003,466.0,466.0
00:02:12,,,0.0,,0.0,,,0.0,,,,100.0,,,
00:02:13,,,0.0,,0.0,,,0.0,,,,100.0,,,
00:02:14,466.0,337.4515603098548,1.0,15.0,1.0,169.66666666666666,49495.0,0.0,466.0,0.0,31.75,99.995,480.5,466.0,466.0
00:02:15,,,0.0,,0.0,,,0.0,,,,100.0,,,
00:02:16,294.5,4929.0,0.0,7110.0,0.0,7110.0,,0.0,380.25,171.5,9574.5,100.0,11053.2,208.75,431.7
00:02:17,,,0.0,,0.0,,46154.0,0.0,,,,100.0,,,
00:02:18,,,1.0,,1.0,,,0.0,,,,99.992,,,
00:02:19,466.0,0.0,1.0,616.0,1.0,616.0,58017.0,0.0,466.0,0.0,616.0,100.0,616.0,466.0,466.0
00:02:20,466.0,1410.5257130439506,0.0,2131.0,0.0,2135.6206896551726,,0.0,466.0,0.0,2739.0,99.999,4045.6,466.0,466.0
00:02:21,427.8888888888889,2091.6454506818372,0.0,716.0,0.0,1633.5555555555557,,0.0,466.0,107.79450042088258,774.0,100.0,4576.0,466.0,466.0
00:02:22,,,0.0,,0.0,,,3.0,,,,100.0,,,
00:02:23,466.0,0.0,0.0,21.0,0.0,21.0,,0.0,466.0,0.0,21.0,100.0,21.0,466.0,466.0
00:02:24,,,1.0,,1.0,,62478.0,0.0,,,,99.997,,,
00:02:25,372.8,873.8575627640926,1.0,22.0,1.0,522.6,185.0,0.0,466.0,186.39999999999998,320.0,100.0,1480.4,466.0,466.0
00:02:26,466.0,4398.556426829147,0.0,373.0,0.0,2798.6,,0.0,466.0,0.0,2120.0,100.0,7722.200000000001,466.0,466.0
00:02:27,466.0,3.3541019662496847,1.0,18.5,1.0,18.5,37894.0,0.0,466.0,0.0,20.75,99.996,22.1,466.0,466.0
00:02:28,310.6666666666667,9.463379711052259,1.0,14.0,1.0,12.333333333333334,56410.5,0.0,466.0,219.6745066886208,18.5,99.998,21.2,233.0,466.0
00:02:29,,,1.0,,1.0,,,0.0,,,,99.999,,,
00:02:30,466.0,153.92819393759186,0.0,24.0,0.0,90.33333333333333,,0.0,466.0,0.0,33.0,100.0,233.5,466.0,466.0
00:02:31,466.0,603.0,1.0,617.0,1.0,617.0,73087.0,0.0,466.0,0.0,918.5,99.999,1099.4,466.0,466.0
00:02:32,408.8333333333333,419.19860713297015,0.0,379.0,0.0,424.8333333333333,,0.0,466.0,127.82855271373798,470.5,100.0,880.0,466.0,466.0
00:02:33,351.6666666666667,392.46769152235817,0.0,395.0,0.0,458.6666666666667,,0.0,466.0,161.69175063132386,681.5,100.0,853.4000000000001,294.5,466.0
00:02:34,466.0,2191.706557149716,0.0,61.0,0.0,1374.2857142857142,,0.0,466.0,0.0,1671.5,100.0,4269.000000000001,466.0,466.0
00:02:35,,,0.0,,0.0,,,0.0,,,,100.0,,,
00:02:36,466.0,0.0,0.0,31.0,0.0,31.0,,0.0,466.0,0.0,31.0,100.0,31.0,466.0,466.0
00:02:37,350.42857142857144,44.867150839893945,1.0,49.0,1.0,57.714285714285715,94211.0,0.0,466.0,185.66779637902985,99.0,99.997,116.0,294.5,466.0
00:02:38,466.0,1.0,0.0,14.0,0.0,14.0,,0.0,466.0,0.0,14.5,100.0,14.8,466.0,466.0
00:02:39,310.6666666666667,444.69390221439585,1.0,58.0,2.0,343.0,93937.0,0.0,466.0,219.6745066886208,514.5,99.999,788.4000000000001,233.0,466.0
00:02:40,359.75,355.41746775994125,2.0,89.5,1.0,260.9166666666667,,0.0,466.0,186.2999932903917,370.25,99.998,937.1000000000003,380.25,466.0
00:02:41,466.0,2137.5,0.0,2479.5,0.0,2479.5,,0.0,466.0,0.0,3548.25,100.0,4189.5,466.0,466.0
00:02:42,,,0.0,,0.0,,,0.0,,,,100.0,,,
00:02:43,466.0,179.0,0.0,194.0,0.0,194.0,,0.0,466.0,0.0,283.5,100.0,337.2,466.0,466.0
00:02:44,466.0,292.92317145456417,0.0,67.5,0.0,198.625,74253.66666666667,0.0,466.0,0.0,179.75,100.0,522.1999999999999,466.0,466.0
